MMSI,Vessel Name,Vessel Type,Call Sign,IMO Number,Length,Breadth,Depth,Flag
538072136,ULTRA G,Pleasure Craft,V7A6508,,,,,Marshall Islands
538072245,ALAIA,Pleasure Craft,V7A6777,,,,,Marshall Islands
538072348,LOGOS,Pleasure Craft,V7A7098,,,,,Marshall Islands
538072604,MITAN,Pleasure Craft,V7A3813,,,,,Marshall Islands
538080083,GRADE I,Pleasure Craft,V7UK5,,,,,Marshall Islands
538090452,GOLDEN KAROO,Cargo,V7ZQ5,,,,,Marshall Islands
538090640,SILVERFJORD,Cargo,V7A6171,,,,,Marshall Islands
538090716,KIVALLIQ W.,Tanker,V7A3924,,,,,Marshall Islands
548001205,MTUG CANOPUS,Tug,DUUZ-3,,,,,Philippines
548032205,PRINCESS LEONOR,Tanker,4DJW4,,,,,Philippines
548101100,MTUG ALUDRA,Tug,DUTE-2,,,,,Philippines
548111381,LCT ASC BIGBOY,Cargo,DUH2980,,,,,Philippines
548187500,MTKR BIGAA,Tanker,DUA2826,,,,,Philippines
548567900,CNC PILIPINAS,Cargo,4DJO-8,,,,,Philippines
548604300,LCT 358,Cargo,DUH3599,,,,,Philippines
548688300,MV LITE FERRY THREE,155,DUHC-6,,,,,Philippines
548788300,LITE FERRY 16,Passenger,DUH3662,,,,,Philippines
548921000,NILIKHA,Cargo,DUHM,,,,,Philippines
548964000,SUBARU,Other,DUJI,,,,,Philippines
553111786,GFS MARINE 02,Cargo,P2V5651,,,,,Unknown
561006004,SAMOA EXPRESS II,Cargo,5WCV,,,,,Unknown
563027100,EAGLE LYON,Tanker,9V5370,,,,,Singapore
563040600,SOTKA,Cargo,9V3544,,,,,Singapore
563049700,STRATEGIC SPIRIT,79,9V8673,,,,,Singapore
563050400,MAERSK MONTE ALEGRE,Cargo,S6BH,,,,,Singapore
563050500,POLAR ECUADOR,Cargo,9V8896,,,,,Singapore
563065100,ST.NIKOLAI,Tanker,9V3585,,,,,Singapore
563071600,CASTARA,Tanker,9VNL5,,,,,Singapore
563075510,PSA AGILITY,79,9V7546,,,,,Singapore
563083200,THERESA II,Tanker,9V6099,,,,,Singapore
563086570,TENACITY,Tanker,9VEM4,,,,,Singapore
563097000,ENLIVEN,87,9V5750,,,,,Singapore
563097100,GLORY VALOR,Cargo,9V6282,,,,,Singapore
563106100,PSA VALKYRIE CS06,Towing,9V6483,,,,,Singapore
563108100,PUFFIN PACIFIC,Tanker,9V6326,,,,,Singapore
563113200,WAN HAI 322,Cargo,9V6492,,,,,Singapore
563123100,POINT LISAS,Tanker,9V6840,,,,,Singapore
563133500,KOTA LARIS,Cargo,9V7259,,,,,Singapore
563145600,ABIGAIL,Cargo,9V7617,,,,,Singapore
563147700,PSA VISION (NN27),Tug,9V7732,,,,,Singapore
563150600,MH COLUMBIA,Cargo,9V5379,,,,,Singapore
563153900,HAFNIA EXPRESS,Tanker,9V7895,,,,,Singapore
563154600,SUNNY BAY,Cargo,9V7201,,,,,Singapore
563163500,WAN HAI 296,Cargo,9V6517,,,,,Singapore
563174100,WAN HAI 357,Cargo,9V7389,,,,,Singapore
563180500,CECH,Tanker,9V8656,,,,,Singapore
563180700,MARINE CHARGE,Tanker,9V7517,,,,,Singapore
563182800,EA NODDY,Cargo,9V8653,,,,,Singapore
563185700,WAN HAI 331,Cargo,9V8494,,,,,Singapore
563185800,GCL KRISHNA,Cargo,9V8468,,,,,Singapore
563202900,CAPE ANN,Tanker,9V9115,,,,,Singapore
563207500,MARINE FUTURE,Tanker,9V8312,,,,,Singapore
563213900,CAPE ZHONGTUO,Cargo,9V9388,,,,,Singapore
563219400,LIGNUM NEXUS,Cargo,9V8520,,,,,Singapore
563221000,MARLIN SATU,Tanker,S6QP,,,,,Singapore
563222300,MAERSK YOSEMITE,Cargo,9V7301,,,,,Singapore
563228300,ARWEN GEMINI,Cargo,9V9796,,,,,Singapore
563239700,NORTH OCEAN,Tanker,9V8193,,,,,Singapore
563239900,EVER MILD,Cargo,9V7647,,,,,Singapore
563243200,EVER WIZ,Cargo,9V7802,,,,,Singapore
563246400,YM TOPMOST,Cargo,9VAJ6,,,,,Singapore
563258300,ZY IDOL,Cargo,9VDK8,,,,,Singapore
563276100,YANGZE 32,Cargo,9VEI9,,,,,Singapore
563278200,COSCO THAILAND,Cargo,9VMW2,,,,,Singapore
563278900,RIO GRANDE EXPRESS,Cargo,9VMT4,,,,,Singapore
563283000,CLEANSEAS PROGRESS,Tanker,9V2259,,,,,Singapore
563285500,SEASPAN GANGES,Cargo,9V8074,,,,,Singapore
563287500,MAERSK GIBRALTAR,Cargo,9VGD2,,,,,Singapore
563288800,SEASPAN MONTEVIDEO,Cargo,9V3712,,,,,Singapore
563289200,YM WREATH,Cargo,9V3240,,,,,Singapore
563289900,SEASPAN TOKYO,Cargo,9V2799,,,,,Singapore
563290900,ONE MAGDALENA,Cargo,9V8858,,,,,Singapore
563292800,ZIMMOUNT KILIMANJARO,Cargo,9V5892,,,,,Singapore
563311600,STANLEY BAY,Cargo,9V9205,,,,,Singapore
563314700,PEARL LONGEVITY,Tanker,9V7795,,,,,Singapore
563315300,TORM DUBAI,Tanker,9V4004,,,,,Singapore
563315500,BW NIVALIS,Tanker,9V9656,,,,,Singapore
563319700,SUVA CHIEF,Cargo,S6UT7,,,,,Singapore
563471000,CLEMENS SCHULTE,Cargo,9V2333,,,,,Singapore
563619000,HAFNIA LYNX,Tanker,9V2340,,,,,Singapore
563793000,ASIAN HERCULES II,Other,9V5356,,,,,Singapore
